Main General;;Mounted;;;Ground;;;Ranged;;;Siege;;;Mounted;;;Ground;;;Ranged;;;Siege;;;Mounted;;;Ground;;;Ranged;;;Siege;;;Mounted;;;Ground;;;Ranged;;;Siege;;;Total Mounted;;;Total Ground;;;Total Ranged;;;Total Siege;;;Overall;;;;;Attributes;;;Base Stats;;;;;;Base Growth;;;;;;;General Lvl; 44 ;
#10;Stephen II; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 50 ; 40 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 125 ; 95 ; 80 ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; 30 ; 30 ; 75 ; 40 ; 50 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; 5 ; 10 ; 251 ; 243 ; 245 ; 251 ; 243 ; 245 ; 261 ; 273 ; 275 ; 461 ; 383 ; 385 ; 3.519 ; 740 ; 740 ; 810 ; 1.230 ; 251 ; 243 ; 245 ; 134 ; 128 ; 131 ; 1.706,41 ; 1.666,02 ; 1.676,01 ; 9,12 ; 8,82 ; 8,88 ; 22,69 ; 21,95 ; 22,10 ;;;;
#11;Champlain; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 40 ; -   ; 50 ; 40 ; 50 ; -   ; -   ; -   ; -   ; -   ; -   ; 15 ; 80 ; 25 ; 120 ; 80 ; 110 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 65 ; 55 ; 45 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; 10 ; 10 ; 245 ; 238 ; 237 ; 245 ; 238 ; 237 ; 260 ; 318 ; 262 ; 440 ; 383 ; 402 ; 3.509 ; 721 ; 721 ; 841 ; 1.226 ; 245 ; 238 ; 237 ; 132 ; 125 ; 119 ; 1.677,07 ; 1.642,43 ; 1.634,93 ; 8,88 ; 8,64 ; 8,63 ; 22,10 ; 21,50 ; 21,47 ;;;;
#12;Zhang Fei; -   ; 40 ; -   ; 50 ; 40 ; 50 ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; 50 ; 20 ; 115 ; 50 ; 80 ; -   ; -   ; -   ; -   ; -   ; -   ; 16 ; 35 ; 35 ; 66 ; 45 ; 35 ; 6 ; -   ; -   ; 6 ; -   ; -   ; -   ; -   ; -   ; 10 ; 10 ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; 267 ; 320 ; 305 ; 432 ; 340 ; 380 ; 247 ; 235 ; 250 ; 247 ; 235 ; 250 ; 3.505 ; 891 ; 1.151 ; 731 ; 731 ; 241 ; 235 ; 250 ; 123 ; 121 ; 132 ; 1.652,78 ; 1.623,44 ; 1.699,75 ; 8,75 ; 8,51 ; 9,08 ; 21,77 ; 21,18 ; 22,59 ;;;;
#13;Tachibana; -   ; -   ; -   ; -   ; -   ; -   ; 45 ; 35 ; 35 ; -   ; 35 ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; 90 ; 75 ; 85 ; 5 ; 35 ; 45 ; -   ; -   ; -   ; -   ; -   ; -   ; 55 ; 50 ; 50 ; 10 ; 30 ; 30 ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; 10 ; 10 ; -   ; -   ; -   ; 244 ; 239 ; 246 ; 244 ; 239 ; 246 ; 394 ; 374 ; 391 ; 259 ; 304 ; 321 ; 3.503 ; 729 ; 729 ; 1.159 ; 884 ; 244 ; 239 ; 246 ; 126 ; 121 ; 130 ; 1.670,71 ; 1.646,13 ; 1.680,62 ; 8,88 ; 8,71 ; 8,93 ; 22,10 ; 21,67 ; 22,22 ;;;;
#14;Ahmose I; -   ; -   ; -   ; -   ; -   ; -   ; 55 ; 55 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 120 ; 105 ; 85 ; 15 ; 25 ; 5 ; -   ; -   ; -   ; -   ; -   ; -   ; 85 ; 10 ; 55 ; 10 ; -   ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; 23 ; 15 ; 10 ; -   ; -   ; -   ; 245 ; 240 ; 241 ; 245 ; 240 ; 241 ; 473 ; 370 ; 391 ; 270 ; 265 ; 281 ; 3.499 ; 725 ; 725 ; 1.233 ; 815 ; 245 ; 240 ; 241 ; 130 ; 127 ; 125 ; 1.674,95 ; 1.647,95 ; 1.653,77 ; 8,88 ; 8,67 ; 8,74 ; 22,10 ; 21,57 ; 21,75 ;;;;
#15;Francis Drake; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 55 ; 40 ; 55 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 20 ; 20 ; 80 ; 105 ; 130 ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 75 ; 60 ; 60 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; 10 ; 5 ; 245 ; 243 ; 242 ; 245 ; 243 ; 242 ; 255 ; 263 ; 262 ; 405 ; 418 ; 437 ; 3.498 ; 729 ; 729 ; 779 ; 1.259 ; 245 ; 243 ; 242 ; 131 ; 125 ; 125 ; 1.674,87 ; 1.662,84 ; 1.659,44 ; 8,87 ; 8,82 ; 8,79 ; 22,07 ; 21,95 ; 21,87 ;;;;
#16;Franz Joseph; -   ; -   ; -   ; -   ; -   ; -   ; 50 ; 40 ; 40 ; -   ; 40 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; 90 ; 90 ; 70 ; -   ; 40 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; 60 ; 50 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; 10 ; 10 ; -   ; -   ; -   ; 252 ; 249 ; 247 ; 252 ; 249 ; 247 ; 407 ; 399 ; 367 ; 252 ; 289 ; 287 ; 3.495 ; 748 ; 748 ; 1.173 ; 828 ; 252 ; 249 ; 247 ; 133 ; 128 ; 125 ; 1.708,75 ; 1.693,24 ; 1.685,53 ; 9,15 ; 9,06 ; 9,02 ; 22,77 ; 22,54 ; 22,44 ;;;;
#17;Seo Shonagon; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 45 ; -   ; 40 ; 45 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; 15 ; 55 ; -   ; 100 ; 85 ; 90 ; -   ; -   ; -   ; -   ; -   ; -   ; 45 ; -   ; -   ; 65 ; 50 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 244 ; 243 ; 250 ; 244 ; 243 ; 250 ; 304 ; 298 ; 250 ; 409 ; 378 ; 380 ; 3.493 ; 737 ; 737 ; 852 ; 1.167 ; 244 ; 243 ; 250 ; 117 ; 116 ; 120 ; 1.671,38 ; 1.664,65 ; 1.698,37 ; 8,97 ; 8,92 ; 9,18 ; 22,32 ; 22,20 ; 22,84 ;;;;
#18;Gonzalo; -   ; -   ; -   ; -   ; -   ; -   ; 55 ; -   ; 55 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 120 ; 65 ; 85 ; 15 ; 15 ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; 80 ; 50 ; 60 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 20 ; 10 ; 10 ; 10 ; -   ; -   ; 242 ; 241 ; 246 ; 242 ; 241 ; 246 ; 462 ; 366 ; 401 ; 277 ; 256 ; 261 ; 3.480 ; 729 ; 729 ; 1.229 ; 794 ; 242 ; 241 ; 246 ; 128 ; 125 ; 138 ; 1.659,22 ; 1.652,64 ; 1.682,29 ; 8,76 ; 8,73 ; 8,87 ; 21,80 ; 21,72 ; 22,07 ;;;;
#19;James Cook; -   ; -   ; -   ; -   ; -   ; -   ; 50 ; 40 ; 40 ; -   ; 40 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; 120 ; 85 ; 80 ; 10 ; 55 ; 50 ; -   ; -   ; -   ; -   ; -   ; -   ; 75 ; 20 ; 40 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 15 ; 5 ; 15 ; -   ; -   ; 5 ; 245 ; 239 ; 240 ; 245 ; 239 ; 240 ; 455 ; 349 ; 375 ; 265 ; 294 ; 295 ; 3.480 ; 724 ; 724 ; 1.179 ; 854 ; 245 ; 239 ; 240 ; 130 ; 127 ; 124 ; 1.672,68 ; 1.645,68 ; 1.650,44 ; 8,86 ; 8,65 ; 8,72 ; 22,05 ; 21,52 ; 21,70 ;;;;
#20;*William Marshal; -   ; -   ; 20 ; -   ; -   ; 20 ; 20 ; -   ; -   ; 20 ; -   ; -   ; -   ; -   ; 55 ; -   ; -   ; 55 ; 60 ; 50 ; -   ; 60 ; 50 ; -   ; 46 ; -   ; -   ; 6 ; -   ; -   ; 36 ; 10 ; 10 ; 36 ; 10 ; -   ; -   ; 30 ; -   ; -   ; 30 ; -   ; 10 ; -   ; -   ; 10 ; -   ; -   ; 288 ; 271 ; 299 ; 248 ; 271 ; 299 ; 348 ; 301 ; 254 ; 348 ; 301 ; 244 ; 3.474 ; 859 ; 819 ; 904 ; 894 ; 242 ; 241 ; 244 ; 112 ; 113 ; 115 ; 1.660,41 ; 1.656,93 ; 1.670,39 ; 8,92 ; 8,88 ; 8,98 ; 22,20 ; 22,10 ; 22,35 ;;;;
#21;Maria Carolina; -   ; -   ; -   ; 50 ; 40 ; 50 ; -   ; -   ; -   ; -   ; -   ; -   ; 20 ; -   ; 10 ; 130 ; 80 ; 100 ; -   ; -   ; -   ; -   ; -   ; -   ; 50 ; -   ; -   ; 60 ; 20 ; 60 ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; -   ; -   ; 20 ; 5 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; 318 ; 239 ; 257 ; 448 ; 344 ; 417 ; 238 ; 239 ; 247 ; 238 ; 239 ; 247 ; 3.469 ; 814 ; 1.209 ; 724 ; 724 ; 238 ; 239 ; 247 ; 123 ; 125 ; 131 ; 1.638,04 ; 1.645,83 ; 1.683,95 ; 8,62 ; 8,67 ; 8,95 ; 21,45 ; 21,57 ; 22,27 ;;;;
#22;Cheng Yaojin; 45 ; 35 ; 35 ; -   ; 35 ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; 90 ; 70 ; 60 ; 25 ; 60 ; 50 ; -   ; -   ; -   ; -   ; -   ; -   ; 70 ; 35 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; 10 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 435 ; 362 ; 308 ; 290 ; 307 ; 278 ; 265 ; 247 ; 228 ; 265 ; 247 ; 228 ; 3.459 ; 1.105 ; 875 ; 740 ; 740 ; 265 ; 247 ; 228 ; 144 ; 131 ; 116 ; 1.774,85 ; 1.686,22 ; 1.587,52 ; 9,63 ; 8,97 ; 8,24 ; 23,96 ; 22,32 ; 20,50 ;;;;
#23;Gao Changgong; -   ; -   ; -   ; 55 ; 55 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; 15 ; 10 ; 15 ; 125 ; 90 ; 65 ; -   ; -   ; -   ; -   ; -   ; -   ; 55 ; -   ; -   ; 75 ; 55 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; 10 ; 5 ; -   ; -   ; -   ; -   ; -   ; -   ; 308 ; 253 ; 262 ; 443 ; 398 ; 337 ; 238 ; 243 ; 247 ; 238 ; 243 ; 247 ; 3.457 ; 823 ; 1.178 ; 728 ; 728 ; 238 ; 243 ; 247 ; 123 ; 125 ; 130 ; 1.639,17 ; 1.666,25 ; 1.684,02 ; 8,63 ; 8,85 ; 8,96 ; 21,47 ; 22,02 ; 22,30 ;;;;
#24;Haakon Haraldsson; 50 ; 40 ; 50 ; -   ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 95 ; 80 ; 90 ; 15 ; 50 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; 70 ; 70 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; 10 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 419 ; 398 ; 355 ; 264 ; 288 ; 255 ; 249 ; 238 ; 245 ; 249 ; 238 ; 245 ; 3.445 ; 1.172 ; 807 ; 732 ; 732 ; 249 ; 238 ; 245 ; 132 ; 128 ; 131 ; 1.692,95 ; 1.642,21 ; 1.677,14 ; 9,02 ; 8,61 ; 8,89 ; 22,44 ; 21,42 ; 22,12 ;;;;
#25;*Richard the Lion; -   ; -   ;; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 25 ; 50 ; 55 ; 25 ; 50 ; 55 ; 25 ; 50 ; 55 ; 25 ; 50 ; 55 ; 10 ; -   ; -   ; 10 ; -   ; -   ; -   ; -   ; -   ; 10 ; 20 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 251 ; 296 ; 305 ; 251 ; 296 ; 305 ; 241 ; 296 ; 305 ; 251 ; 316 ; 325 ; 3.440 ; 852 ; 852 ; 842 ; 892 ; 216 ; 246 ; 250 ; 105 ; 118 ; 115 ; 1.531,63 ; 1.681,51 ; 1.698,74 ; 7,85 ; 9,05 ; 9,23 ; 19,53 ; 22,52 ; 22,97 ;;;;
#26;Melisande; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 40 ; 40 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; 20 ; -   ; 20 ; 110 ; 60 ; 75 ; 6 ; -   ; -   ; 6 ; -   ; -   ; 6 ; 25 ; 25 ; 56 ; 35 ; 25 ; -   ; -   ; -   ; -   ; -   ; -   ; 15 ; 5 ; 5 ; 20 ; 5 ; 5 ; 253 ; 243 ; 238 ; 253 ; 243 ; 238 ; 288 ; 273 ; 288 ; 433 ; 343 ; 343 ; 3.437 ; 734 ; 734 ; 849 ; 1.119 ; 247 ; 243 ; 238 ; 126 ; 119 ; 113 ; 1.685,45 ; 1.663,29 ; 1.642,18 ; 9,01 ; 8,88 ; 8,75 ; 22,42 ; 22,10 ; 21,77 ;;;;
#27;*Leo III; 10 ; -   ; -   ; 10 ; -   ; -   ; 10 ; -   ; -   ; 45 ; -   ; -   ; 20 ; 35 ; 35 ; 20 ; 35 ; 35 ; 20 ; 20 ; 20 ; 70 ; 20 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; 40 ; 20 ; -   ; 60 ; 30 ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 260 ; 279 ; 279 ; 260 ; 279 ; 279 ; 300 ; 284 ; 264 ; 370 ; 294 ; 284 ; 3.429 ; 817 ; 817 ; 847 ; 947 ; 240 ; 244 ; 244 ; 111 ; 113 ; 115 ; 1.648,00 ; 1.668,27 ; 1.670,39 ; 8,82 ; 8,98 ; 8,98 ; 21,95 ; 22,35 ; 22,35 ;;;;
#28;Arthur Wellesley; -   ; -   ; -   ; -   ; -   ; -   ; 40 ; 25 ; 25 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 80 ; 65 ; 90 ; 40 ; 10 ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; 50 ; 50 ; 40 ; 10 ; -   ; 20 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 249 ; 243 ; 247 ; 249 ; 243 ; 247 ; 379 ; 358 ; 377 ; 299 ; 253 ; 282 ; 3.426 ; 739 ; 739 ; 1.114 ; 834 ; 249 ; 243 ; 247 ; 119 ; 116 ; 117 ; 1.696,18 ; 1.663,51 ; 1.684,99 ; 9,17 ; 8,91 ; 9,09 ; 22,82 ; 22,17 ; 22,62 ;;;;
#29;Mouri Motonari; 55 ; 55 ; 35 ; -   ; -   ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; 110 ; 105 ; 90 ; 25 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 75 ; 55 ; 20 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; 15 ; 5 ; -   ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 435 ; 411 ; 359 ; 280 ; 246 ; 244 ; 245 ; 236 ; 244 ; 245 ; 236 ; 244 ; 3.424 ; 1.205 ; 770 ; 725 ; 725 ; 245 ; 236 ; 244 ; 135 ; 120 ; 129 ; 1.676,85 ; 1.629,19 ; 1.668,22 ; 8,85 ; 8,57 ; 8,83 ; 22,02 ; 21,32 ; 21,97 ;;;;
#30;Qin Qiong; -   ; -   ; 40 ; 40 ; 40 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; 15 ; 10 ; 60 ; 70 ; 80 ; 90 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 45 ; 45 ; 45 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 261 ; 256 ; 309 ; 361 ; 371 ; 384 ; 246 ; 246 ; 249 ; 246 ; 246 ; 249 ; 3.422 ; 825 ; 1.115 ; 740 ; 740 ; 246 ; 246 ; 249 ; 118 ; 117 ; 119 ; 1.681,51 ; 1.678,18 ; 1.692,78 ; 9,05 ; 9,03 ; 9,14 ; 22,52 ; 22,47 ; 22,74 ;;;;
#31;*Yodo-dono; -   ; -   ; 20 ; -   ; -   ; 20 ; 40 ; -   ; 20 ; -   ; -   ; 20 ; -   ; 20 ; 35 ; -   ; 20 ; 35 ; 75 ; 45 ; 65 ; 35 ; 20 ; 35 ; 12 ; 10 ; -   ; 12 ; 10 ; -   ; 37 ; 20 ; 10 ; 12 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 250 ; 276 ; 275 ; 250 ; 276 ; 275 ; 350 ; 311 ; 315 ; 285 ; 276 ; 275 ; 3.416 ; 802 ; 802 ; 977 ; 837 ; 238 ; 246 ; 240 ; 112 ; 117 ; 116 ; 1.642,26 ; 1.681,58 ; 1.648,77 ; 8,76 ; 9,06 ; 8,78 ; 21,80 ; 22,54 ; 21,85 ;;;;
