Main General;;;Covenant;;;;Skill Books (Level 4) Not Calculated;;;;Main Skill;;;;Full Ascension;;;;Full Specialties;;;;Full Covenant/Skin;;;;Attributes;;;Totals;;;;;Base Stats;;;;;;Base Growth;;;;;;;Rally Spot;Attack;Base Atk
#10;U;Champlain;Y;N;N;Y; 25 ; 25 ; 25 ; 12 ; 50 ; 40 ; 50 ; -   ; 120 ; 80 ; 110 ; -   ; 75 ; 55 ; 45 ; 6 ; 10 ; 10 ; 10 ; 6 ; 245 ; 238 ; 237 ; 450 ; 383 ; 402 ; 12 ;36,38B; 132 ; 125 ; 119 ; 1.677,07 ; 1.642,43 ; 1.634,93 ; 8,88 ; 8,64 ; 8,63 ; 22,10 ; 21,50 ; 21,47 ;;;;
#11;U;Mu Guiying;Y;N;N;N; -   ; 25 ; 25 ; 12 ; 45 ; 20 ; 20 ; -   ; 110 ; 70 ; 35 ; 8 ; 70 ; 10 ; 20 ; -   ; 15 ; 5 ; 5 ; 5 ; 243 ; 243 ; 245 ; 438 ; 328 ; 305 ; 13 ;35,80B; 123 ; 111 ; 114 ; 1.665,26 ; 1.662,75 ; 1.672,73 ; 8,86 ; 8,95 ; 9,01 ; 22,05 ; 22,27 ; 22,42 ;;;;
#12;U;Francis Drake;Y;N;N;N; 25 ; 25 ; 25 ; 12 ; 55 ; 40 ; 55 ; -   ; 115 ; 105 ; 130 ; -   ; 75 ; 60 ; 60 ; -   ; 15 ; 10 ; 5 ; 10 ; 245 ; 243 ; 242 ; 450 ; 418 ; 437 ; 10 ;35,70B; 131 ; 125 ; 125 ; 1.674,87 ; 1.662,84 ; 1.659,44 ; 8,87 ; 8,82 ; 8,79 ; 22,07 ; 21,95 ; 21,87 ;;;;
#13;A;Christina;Y;N;N;Y; 25 ; 25 ; 25 ; 12 ; 50 ; 50 ; 40 ; -   ; 125 ; 120 ; 90 ; -   ; 75 ; 55 ; 45 ; -   ; 15 ; 10 ; 10 ; 5 ; 254 ; 238 ; 243 ; 469 ; 423 ; 388 ; 5 ;35,48B; 137 ; 121 ; 126 ; 1.722,06 ; 1.640,46 ; 1.665,04 ; 9,23 ; 8,66 ; 8,83 ; 22,97 ; 21,55 ; 21,97 ;;;;
#14;A;Gunther;Y;Y;N;N; 25 ; 25 ; 25 ; 12 ; 45 ; 45 ; 30 ; -   ; 120 ; 90 ; 70 ; -   ; 70 ; 45 ; 35 ; -   ; 8 ; 10 ; 20 ; 10 ; 248 ; 244 ; 251 ; 446 ; 389 ; 376 ; 10 ;35,38B; 121 ; 118 ; 125 ; 1.688,09 ; 1.670,17 ; 1.704,81 ; 9,08 ; 8,95 ; 9,19 ; 22,59 ; 22,27 ; 22,87 ;;;;
#15;A;Theodosius I;Y;N;N;Y; 25 ; 25 ; 25 ; 12 ; 45 ; 45 ; -   ; 8 ; 90 ; 95 ; 30 ; 13 ; 70 ; 45 ; 35 ; -   ; 10 ; 10 ; 10 ; -   ; 255 ; 239 ; 244 ; 425 ; 389 ; 319 ; 13 ;34,85B; 132 ; 118 ; 123 ; 1.725,84 ; 1.644,08 ; 1.670,93 ; 9,31 ; 8,72 ; 8,91 ; 23,17 ; 21,70 ; 22,17 ;;;;
#16;A;Pallas;N;N;N;N; 25 ; 25 ; 25 ; 12 ; 45 ; 35 ; 10 ; -   ; 95 ; 90 ; 50 ; 8 ; 61 ; 40 ; -   ; 6 ; 10 ; -   ; -   ; -   ; 247 ; 244 ; 240 ; 413 ; 374 ; 290 ; 14 ;34,30B; 120 ; 119 ; 113 ; 1.687,03 ; 1.668,96 ; 1.647,86 ; 9,08 ; 8,93 ; 8,80 ; 22,59 ; 22,22 ; 21,90 ;;;;
#17;A;John Hunyadi;Y;N;Y;Y; 25 ; 25 ; 25 ; 12 ; 45 ; 15 ; 15 ; -   ; 95 ; 85 ; 35 ; 10 ; 70 ; 35 ; 45 ; -   ; 20 ; -   ; 5 ; -   ; 241 ; 244 ; 245 ; 426 ; 364 ; 330 ; 10 ;33,95B; 124 ; 108 ; 115 ; 1.656,11 ; 1.668,64 ; 1.674,93 ; 8,77 ; 9,03 ; 9,02 ; 21,82 ; 22,47 ; 22,44 ;;;;
#18;U;Melisande;Y;Y;N;N; 25 ; 25 ; 25 ; 12 ; 40 ; 40 ; 40 ; 8 ; 90 ; 60 ; 75 ; 8 ; 56 ; 35 ; 25 ; -   ; 10 ; 5 ; 5 ; 5 ; 247 ; 243 ; 238 ; 403 ; 343 ; 343 ; 13 ;33,22B; 126 ; 119 ; 113 ; 1.685,45 ; 1.663,29 ; 1.642,18 ; 9,01 ; 8,88 ; 8,75 ; 22,42 ; 22,10 ; 21,77 ;;;;
#19;A;Zucca;N;N;Y;N; 25 ; 25 ; 25 ; 12 ; 40 ; -   ; 35 ; -   ; 75 ; 55 ; 45 ; 14 ; 50 ; 35 ; 20 ; 6 ; -   ; -   ; -   ; -   ; 242 ; 240 ; 249 ; 367 ; 330 ; 314 ; 20 ;32,74B; 115 ; 113 ; 123 ; 1.657,91 ; 1.648,99 ; 1.693,61 ; 8,87 ; 8,81 ; 9,11 ; 22,07 ; 21,92 ; 22,67 ;;;;
#20;A;Philip II;N;N;Y;Y; 25 ; 25 ; 25 ; 12 ; 25 ; -   ; -   ; -   ; 60 ; 35 ; 25 ; 14 ; 60 ; 10 ; 20 ; 6 ; -   ; -   ; -   ; -   ; 244 ; 242 ; 244 ; 364 ; 287 ; 289 ; 20 ;32,52B; 116 ; 114 ; 118 ; 1.668,05 ; 1.657,99 ; 1.667,90 ; 8,95 ; 8,88 ; 8,93 ; 22,27 ; 22,10 ; 22,22 ;;;;
#21;A;John Churchill;N;N;Y;N; 25 ; 25 ; 25 ; 12 ; 30 ; -   ; -   ; -   ; 70 ; 45 ; 40 ; 10 ; 60 ; 25 ; 20 ; 6 ; -   ; -   ; -   ; -   ; 246 ; 240 ; 246 ; 376 ; 310 ; 306 ; 16 ;32,21B; 121 ; 116 ; 120 ; 1.682,42 ; 1.647,63 ; 1.680,23 ; 9,03 ; 8,77 ; 9,02 ; 22,47 ; 21,82 ; 22,44 ;;;;
#22;U;Septimius Severus;N;N;Y;Y; -   ; 25 ; 25 ; 12 ; 35 ; -   ; 20 ; -   ; 70 ; 35 ; 45 ; 10 ; 60 ; 40 ; 10 ; 6 ; -   ; -   ; -   ; -   ; 246 ; 244 ; 243 ; 376 ; 319 ; 298 ; 16 ;32,17B; 122 ; 118 ; 118 ; 1.680,08 ; 1.670,17 ; 1.666,77 ; 9,00 ; 8,95 ; 8,92 ; 22,39 ; 22,27 ; 22,20 ;;;;
#23;A;Petronas;N;N;N;N; 25 ; 25 ; 25 ; 12 ; 40 ; 20 ; -   ; -   ; 70 ; 40 ; 40 ; 14 ; 60 ; 10 ; 35 ; -   ; -   ; -   ; -   ; -   ; 246 ; 238 ; 245 ; 376 ; 288 ; 320 ; 14 ;31,57B; 122 ; 110 ; 118 ; 1.682,35 ; 1.639,00 ; 1.676,97 ; 9,02 ; 8,75 ; 9,01 ; 22,44 ; 21,77 ; 22,42 ;;;;
#24;A;Kleos;N;N;N;N; 25 ; 25 ; 25 ; 12 ; 40 ; -   ; 40 ; 12 ; 75 ; 40 ; 80 ; 12 ; 60 ; 45 ; 45 ; -   ; -   ; -   ; 10 ; -   ; 243 ; 239 ; 245 ; 378 ; 324 ; 380 ; 12 ;31,06B; 118 ; 112 ; 119 ; 1.665,63 ; 1.645,66 ; 1.673,50 ; 8,91 ; 8,79 ; 8,97 ; 22,17 ; 21,87 ; 22,32 ;;;;
#25;U;Ulysses;N;N;N;N; 25 ; 25 ; 25 ; 12 ; 30 ; -   ; -   ; -   ; 50 ; 20 ; -   ; 14 ; 46 ; 10 ; 20 ; 6 ; -   ; -   ; -   ; -   ; 241 ; 243 ; 240 ; 337 ; 273 ; 260 ; 20 ;30,53B; 120 ; 115 ; 114 ; 1.655,28 ; 1.666,99 ; 1.647,78 ; 8,80 ; 8,95 ; 8,79 ; 21,90 ; 22,27 ; 21,87 ;;;;
#26;U;Raimondo;N;N;N;Y; -   ; 25 ; 25 ; 12 ; 45 ; 20 ; -   ; -   ; 80 ; 110 ; -   ; -   ; 70 ; 45 ; 10 ; 6 ; -   ; 10 ; -   ; -   ; 245 ; 245 ; 240 ; 395 ; 410 ; 250 ; 6 ;30,36B; 121 ; 112 ; 115 ; 1.673,35 ; 1.675,15 ; 1.648,84 ; 8,95 ; 9,05 ; 8,79 ; 22,27 ; 22,52 ; 21,87 ;;;;
#27;A;Napoleon;N;Y;N;Y; 25 ; 25 ; 25 ; 12 ; 30 ; -   ; -   ; -   ; 60 ; 20 ; -   ; -   ; 42 ; -   ; 10 ; 16 ; -   ; -   ; -   ; -   ; 240 ; 236 ; 251 ; 342 ; 256 ; 261 ; 16 ;29,69B; 112 ; 113 ; 119 ; 1.652,47 ; 1.630,84 ; 1.704,12 ; 8,85 ; 8,65 ; 9,24 ; 22,02 ; 21,52 ; 22,99 ;;;;
#28;U;Seo Shonagon;N;N;N;N; 25 ; 25 ; 25 ; 12 ; 40 ; 45 ; 40 ; -   ; 100 ; 85 ; 90 ; -   ; 65 ; 50 ; 40 ; -   ; -   ; -   ; -   ; -   ; 244 ; 243 ; 250 ; 409 ; 378 ; 380 ; -   ;29,50B; 117 ; 116 ; 120 ; 1.671,38 ; 1.664,65 ; 1.698,37 ; 8,97 ; 8,92 ; 9,18 ; 22,32 ; 22,20 ; 22,84 ;;;;
#29;U;Emperor Qin Shihuang;N;N;N;N; -   ; 25 ; 25 ; 12 ; 35 ; -   ; -   ; -   ; 60 ; 25 ; 25 ; 10 ; 46 ; 36 ; -   ; 6 ; -   ; -   ; -   ; -   ; 218 ; 215 ; 215 ; 324 ; 276 ; 240 ; 16 ;28,33B; 106 ; 100 ; 100 ; 1.540,63 ; 1.524,06 ; 1.524,06 ; 7,92 ; 7,83 ; 7,83 ; 19,71 ; 19,48 ; 19,48 ;;;;
#30;A;Isabella I;N;Y;Y;N; 25 ; 25 ; 25 ; 12 ; 10 ;;; 10 ; 25 ; 15 ; 15 ; 10 ; 50 ;; 10 ; 10 ; -   ; -   ; -   ; -   ; 227 ; 228 ; 241 ; 302 ; 243 ; 266 ; 20 ;27,94B; 112 ; 113 ; 115 ; 1.586,68 ; 1.588,88 ; 1.656,78 ; 8,27 ; 8,28 ; 8,86 ; 20,58 ; 20,60 ; 22,05 ;;;;
#31;U;Surena;N;N;Y;N; -   ; 25 ; 25 ; 12 ; 40 ; -   ; -   ; -   ; 65 ; 35 ; 35 ; -   ; 55 ; 30 ; 40 ; 6 ; -   ; -   ; -   ; -   ; 243 ; 241 ; 246 ; 363 ; 306 ; 321 ; 6 ;28,08B; 119 ; 116 ; 117 ; 1.666,69 ; 1.654,44 ; 1.681,58 ; 8,91 ; 8,83 ; 9,06 ; 22,17 ; 21,97 ; 22,54 ;;;;
#32;U;Edward Teach;N;N;N;Y; 25 ; 25 ; 25 ; 12 ; 40 ; 30 ; -   ; -   ; 75 ; 70 ; 55 ; -   ; 65 ; 20 ; 35 ; -   ; -   ; -   ; -   ; -   ; 246 ; 245 ; 238 ; 386 ; 335 ; 328 ; -   ;27,79B; 119 ; 117 ; 117 ; 1.678,03 ; 1.674,78 ; 1.641,89 ; 9,01 ; 9,00 ; 8,71 ; 22,42 ; 22,39 ; 21,67 ;;;;
#33;U;Khalid;N;N;N;N; 25 ; 25 ; 25 ; 12 ; 20 ; -   ; -   ; -   ; 50 ; -   ; -   ; 10 ; 50 ; 10 ; 20 ; -   ; -   ; -   ; -   ; -   ; 234 ; 225 ; 252 ; 334 ; 235 ; 272 ; 10 ;27,17B; 112 ; 109 ; 114 ; 1.618,44 ; 1.574,43 ; 1.711,29 ; 8,55 ; 8,19 ; 9,35 ; 21,28 ; 20,38 ; 23,27 ;;;;
#34;U;William Wallace;N;Y;N;N; 25 ; 25 ; 25 ; 12 ; 20 ; -   ; -   ; -   ; 45 ; -   ; -   ; 10 ; 46 ; -   ; 36 ; -   ; -   ; -   ; -   ; -   ; 237 ; 237 ; 227 ; 328 ; 237 ; 263 ; 10 ;26,72B; 113 ; 110 ; 103 ; 1.633,11 ; 1.634,47 ; 1.587,35 ; 8,67 ; 8,71 ; 8,36 ; 21,57 ; 21,67 ; 20,80 ;;;;
#35;A;Sherman;N;N;N;N; 25 ; 25 ; 25 ; 12 ; 20 ; -   ; -   ; -   ; 60 ; 15 ; 20 ; -   ; 46 ; -   ; 10 ; 6 ; -   ; -   ; -   ; -   ; 238 ; 232 ; 242 ; 344 ; 247 ; 272 ; 6 ;26,67B; 115 ; 109 ; 109 ; 1.639,77 ; 1.610,72 ; 1.659,49 ; 8,71 ; 8,51 ; 8,94 ; 21,67 ; 21,18 ; 22,25 ;;;;
#36;U;Gustavus Adolphus;N;Y;N;N; 25 ; 25 ; 25 ; 12 ; 15 ; -   ; -   ; -   ; 40 ; -   ; -   ; 10 ; 46 ; 10 ; 36 ;;;;;; 237 ; 224 ; 242 ; 323 ; 234 ; 278 ; 10 ;26,42B; 115 ; 95 ; 106 ; 1.637,50 ; 1.569,80 ; 1.660,85 ; 8,69 ; 8,28 ; 8,98 ; 21,62 ; 20,60 ; 22,35 ;;;;
#37;A;Matthias I;N;Y;N;N; 25 ; 25 ; 25 ; 12 ; 20 ; -   ; -   ; 5 ; 50 ; 20 ; 20 ; 5 ; 50 ; 10 ; 20 ; -   ; -   ; -   ; -   ; -   ; 241 ; 243 ; 238 ; 341 ; 273 ; 278 ; 5 ;26,13B; 117 ; 111 ; 107 ; 1.654,36 ; 1.662,75 ; 1.640,36 ; 8,82 ; 8,95 ; 8,79 ; 21,95 ; 22,27 ; 21,87 ;;;;
#38;A;Cyrus the Great;N;Y;N;N; 25 ; 25 ; 25 ; 12 ; 15 ; -   ; -   ; -   ; 30 ; 10 ; 15 ; 14 ; 6 ; -   ; -   ; 6 ; -   ; -   ; -   ; -   ; 237 ; 241 ; 249 ; 273 ; 251 ; 264 ; 20 ;25,72B; 113 ; 112 ; 112 ; 1.633,11 ; 1.657,00 ; 1.695,56 ; 8,67 ; 8,89 ; 9,23 ; 21,57 ; 22,12 ; 22,97 ;;;;
#39;U;Gwanggaeto;N;N;N;N; 25 ; 25 ; 25 ; 12 ; 20 ; -   ; -   ; -   ; 30 ; 15 ; 20 ; 10 ; 26 ; 16 ; -   ; 6 ; -   ; -   ; -   ; -   ; 232 ; 231 ; 246 ; 288 ; 262 ; 266 ; 16 ;25,64B; 112 ; 108 ; 110 ; 1.609,37 ; 1.603,99 ; 1.682,10 ; 8,47 ; 8,46 ; 9,13 ; 21,08 ; 21,05 ; 22,72 ;;;;
#40;U;Suleiman the Magnificient;N;N;N;Y; 25 ; 25 ; 25 ; 12 ; 15 ; -   ; -   ; -   ; 25 ; 10 ; 10 ; 12 ; 46 ; 10 ; 20 ;; -   ; -   ; -   ; -   ; 229 ; 234 ; 238 ; 300 ; 254 ; 268 ; 12 ;25,31B; 109 ; 107 ; 112 ; 1.594,85 ; 1.621,08 ; 1.638,86 ; 8,37 ; 8,62 ; 8,73 ; 20,83 ; 21,45 ; 21,72 ;;;;
#41;U;Ramsesses II;N;N;N;N; 25 ; 25 ; 25 ; 12 ; 20 ; 20 ; -   ; -   ; 50 ; 15 ; 15 ; -   ; 60 ; 20 ; 10 ; -   ; -   ; -   ; -   ; -   ; 239 ; 233 ; 238 ; 349 ; 268 ; 263 ; -   ;25,15B; 111 ; 106 ; 113 ; 1.644,60 ; 1.613,21 ; 1.642,18 ; 8,79 ; 8,56 ; 8,75 ; 21,87 ; 21,30 ; 21,77 ;;;;
#42;U;Mason Weaver;N;N;N;N; 25 ; 25 ; 25 ; 12 ; 20 ; 25 ; 25 ; -   ; 50 ; 45 ; 45 ; -   ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 239 ; 247 ; 242 ; 329 ; 292 ; 287 ; -   ;23,73B; 118 ; 123 ; 111 ; 1.646,35 ; 1.686,81 ; 1.660,48 ; 8,74 ; 9,05 ; 8,93 ; 21,75 ; 22,52 ; 22,22 ;;;;
#43;A;Alfred the Great;N;N;Y;N; 25 ; 25 ; 25 ; 12 ; 20 ; -   ; -   ; -   ; 45 ; 20 ; 30 ; -   ; 10 ; -   ; -   ; 6 ; -   ; -   ; -   ; -   ; 236 ; 242 ; 246 ; 291 ; 262 ; 276 ; 6 ;22,79B; 112 ; 116 ; 117 ; 1.628,65 ; 1.658,97 ; 1.678,18 ; 8,64 ; 8,87 ; 9,03 ; 21,50 ; 22,07 ; 22,47 ;;;;
#44;U;Raged King;N;N;N;N; 25 ; 25 ; 25 ; 12 ; 10 ; -   ; -   ; -   ; 45 ; 25 ; 25 ; -   ; 20 ; -   ; 10 ; -   ; -   ; -   ; -   ; -   ; 229 ; 220 ; 238 ; 294 ; 245 ; 273 ; -   ;21,17B; 98 ; 103 ; 110 ; 1.593,39 ; 1.549,92 ; 1.640,14 ; 8,46 ; 8,03 ; 8,76 ; 21,05 ; 19,98 ; 21,80 ;;;;
#45;;;N;N;N;N; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; -   ;1,15B; -   ; -   ; -   ; 530,00 ; 530,00 ; 530,00 ; -   ; -   ; -   ; -   ; -   ; -   ;;;;
#46;;;N;N;N;N; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; -   ;1,15B; -   ; -   ; -   ; 530,00 ; 530,00 ; 530,00 ; -   ; -   ; -   ; -   ; -   ; -   ;;;;
#47;;;N;N;N;N; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; -   ;1,15B; -   ; -   ; -   ; 530,00 ; 530,00 ; 530,00 ; -   ; -   ; -   ; -   ; -   ; -   ;;;;
#48;;;N;N;N;N; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; -   ;1,15B; -   ; -   ; -   ; 530,00 ; 530,00 ; 530,00 ; -   ; -   ; -   ; -   ; -   ; -   ;;;;
#49;;;N;N;N;N; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; -   ;1,15B; -   ; -   ; -   ; 530,00 ; 530,00 ; 530,00 ; -   ; -   ; -   ; -   ; -   ; -   ;;;;
#50;;;N;N;N;N; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; -   ;1,15B; -   ; -   ; -   ; 530,00 ; 530,00 ; 530,00 ; -   ; -   ; -   ; -   ; -   ; -   ;;;;
#51;;;N;N;N;N; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; -   ;1,15B; -   ; -   ; -   ; 530,00 ; 530,00 ; 530,00 ; -   ; -   ; -   ; -   ; -   ; -   ;;;;
#52;;;N;N;N;N; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; -   ;1,15B; -   ; -   ; -   ; 530,00 ; 530,00 ; 530,00 ; -   ; -   ; -   ; -   ; -   ; -   ;;;;
#53;;;N;N;N;N; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; -   ;1,15B; -   ; -   ; -   ; 530,00 ; 530,00 ; 530,00 ; -   ; -   ; -   ; -   ; -   ; -   ;;;;
#54;;;N;N;N;N; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; -   ;1,15B; -   ; -   ; -   ; 530,00 ; 530,00 ; 530,00 ; -   ; -   ; -   ; -   ; -   ; -   ;;;;
#55;;;N;N;N;N; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; -   ;1,15B; -   ; -   ; -   ; 530,00 ; 530,00 ; 530,00 ; -   ; -   ; -   ; -   ; -   ; -   ;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Assistant;;;Covenant;;;;Skill Books (Level 4) Not Calculated;;;;Main Skill;;;;Full Ascension;;;;Full Specialties;;;;Full Covenant/Skin;;;;Attributes;;;Totals;;;;;;;;;;;;;;;;;;;;
#;A/U;General;MC;C1;C2;C3;ATK %;DEF %;HP %;MS %;ATK;DEF;HP;MS;ATK2;DEF3;HP4;MS5;ATK6;DEF7;HP8;MS9;ATK10;DEF11;HP12;MS13;ATK14;DEF15;HP16;ATK17;DEF18;HP19;MS20;Inc ATK;;;;;;;;;;;;;;;;
#1;A;Romulus;Y;N;N;Y; 25 ; 25 ; 25 ; 12 ; 55 ; 35 ; 55 ; -   ; -   ; -   ; -   ; -   ; 85 ; 10 ; 55 ; 8 ; 25 ; 10 ; 33 ; 8 ; -   ; -   ; -   ; 165 ; 55 ; 143 ; 16 ;16,53B;;;;;;;;;;;;;;;;
