Main General;;;Covenant;;;;Skill Books (Level 4) Not Calculated;;;;Main Skill;;;;Full Ascension;;;;Full Specialties;;;;Full Covenant/Skin;;;;Attributes;;;Totals;;;;;Base Stats;;;;;;Base Growth;;;;;;;Rally Spot;Attack;Base Atk
#10;U;Zhang Fei;Y;N;N;Y; 25 ; 25 ; 25 ; 12 ; 50 ; 40 ; 50 ; -   ; 115 ; 60 ; 80 ; 10 ; 66 ; 45 ; 35 ; -   ; 10 ; 10 ; 15 ; 8 ; 241 ; 235 ; 250 ; 432 ; 350 ; 380 ; 18 ;67,97B; 123 ; 121 ; 132 ; 1.652,78 ; 1.623,44 ; 1.699,75 ; 8,75 ; 8,51 ; 9,08 ; 21,77 ; 21,18 ; 22,59 ;;;;
#11;U;Maria Carolina;Y;N;N;N; 25 ; 25 ; 25 ; 12 ; 50 ; 40 ; 50 ; -   ; 130 ; 80 ; 100 ; -   ; 60 ; 20 ; 60 ; 8 ; 20 ; 5 ; 10 ; 6 ; 238 ; 239 ; 247 ; 448 ; 344 ; 417 ; 14 ;67,77B; 123 ; 125 ; 131 ; 1.638,04 ; 1.645,83 ; 1.683,95 ; 8,62 ; 8,67 ; 8,95 ; 21,45 ; 21,57 ; 22,27 ;;;;
#12;U;Lucilla;Y;Y;N;N; 25 ; 25 ; 25 ; 12 ; 50 ; 40 ; 40 ; -   ; 100 ; 75 ; 75 ; -   ; 61 ; 35 ; 45 ; 6 ; 20 ; 10 ; 10 ; 10 ; 244 ; 254 ; 261 ; 425 ; 374 ; 391 ; 16 ;65,94B; 125 ; 136 ; 144 ; 1.671,92 ; 1.719,87 ; 1.754,44 ; 8,90 ; 9,22 ; 9,45 ; 22,15 ; 22,94 ; 23,51 ;;;;
#13;A;Alexander the Great;N;N;N;Y; 25 ; 25 ; 25 ; 12 ; 20 ; -   ; -   ; -   ; 65 ; 70 ; 50 ; 14 ; 50 ; 10 ; 20 ; 16 ; -   ; -   ; -   ; -   ; 246 ; 237 ; 252 ; 361 ; 317 ; 322 ; 30 ;65,25B; 120 ; 110 ; 118 ; 1.679,09 ; 1.636,74 ; 1.711,00 ; 9,01 ; 8,73 ; 9,31 ; 22,42 ; 21,72 ; 23,17 ;;;;
#14;A;Suchet;Y;N;N;Y; 25 ; 25 ; 25 ; 12 ; 45 ; 25 ; 45 ; -   ; 85 ; 40 ; 115 ; 6 ; 66 ; 30 ; 30 ; 6 ; 15 ; 10 ; 10 ; 5 ; 243 ; 240 ; 252 ; 409 ; 320 ; 407 ; 17 ;64,35B; 116 ; 112 ; 120 ; 1.666,91 ; 1.649,06 ; 1.709,72 ; 8,94 ; 8,82 ; 9,28 ; 22,25 ; 21,95 ; 23,09 ;;;;
#15;A;Totila;Y;N;Y;Y; 25 ; 25 ; 25 ; 12 ; 45 ; 45 ; 30 ; -   ; 95 ; 80 ; 45 ; 8 ; 60 ; 45 ; 35 ; 6 ; 10 ; 10 ; 10 ; -   ; 247 ; 245 ; 248 ; 412 ; 380 ; 338 ; 14 ;62,91B; 124 ; 122 ; 127 ; 1.684,47 ; 1.675,54 ; 1.692,18 ; 9,02 ; 8,96 ; 9,06 ; 22,44 ; 22,30 ; 22,54 ;;;;
#16;U;Miltiades;Y;N;N;N; 25 ; 25 ; 25 ; 12 ; 45 ; 35 ; 45 ; -   ; 100 ; 65 ; 85 ; 8 ; 60 ; 50 ; 50 ; 6 ; 10 ; 5 ; 5 ; -   ; 241 ; 235 ; 250 ; 411 ; 355 ; 390 ; 14 ;62,77B; 121 ; 118 ; 130 ; 1.654,07 ; 1.623,67 ; 1.701,03 ; 8,78 ; 8,54 ; 9,11 ; 21,85 ; 21,25 ; 22,67 ;;;;
#17;A;Carus;N;N;Y;N; 25 ; 25 ; 25 ; 12 ; 35 ; -   ; -   ; -   ; 70 ; 10 ;; 20 ; 46 ; 20 ; 10 ; 6 ; -   ; -   ; -   ; -   ; 238 ; 240 ; 247 ; 354 ; 270 ; 257 ; 26 ;61,94B; 119 ; 115 ; 116 ; 1.638,34 ; 1.647,71 ; 1.683,93 ; 8,66 ; 8,78 ; 9,09 ; 21,55 ; 21,85 ; 22,62 ;;;;
#18;A;Lu Xun;N;N;Y;N; 25 ; 25 ; 25 ; 12 ; 45 ; 30 ; 30 ; -   ; 95 ; 70 ; 80 ; 14 ; 60 ; 55 ; 20 ; -   ; -   ; -   ; -   ; -   ; 247 ; 240 ; 243 ; 402 ; 365 ; 343 ; 14 ;61,62B; 121 ; 118 ; 116 ; 1.686,96 ; 1.652,02 ; 1.666,91 ; 9,07 ; 8,79 ; 8,94 ; 22,57 ; 21,87 ; 22,25 ;;;;
#19;U;Sweyn Forkbeard;Y;N;Y;N; 25 ; 25 ; 25 ; 12 ; 40 ; 10 ; 40 ; -   ; 90 ; 70 ; 55 ; 8 ; 60 ; 35 ; 20 ; -   ; 15 ; 5 ; 5 ; 5 ; 240 ; 242 ; 250 ; 405 ; 352 ; 330 ; 13 ;61,45B; 115 ; 117 ; 124 ; 1.652,24 ; 1.660,03 ; 1.699,21 ; 8,82 ; 8,87 ; 9,15 ; 21,95 ; 22,07 ; 22,77 ;;;;
#20;A;Ludwig;N;N;Y;N; 25 ; 25 ; 25 ; 12 ; 40 ; 25 ; 25 ; -   ; 75 ; 70 ; 70 ; 10 ; 60 ; 45 ; 35 ; 6 ; -   ; -   ; -   ; -   ; 246 ; 247 ; 241 ; 381 ; 362 ; 346 ; 16 ;59,88B; 123 ; 121 ; 117 ; 1.680,00 ; 1.685,82 ; 1.654,36 ; 8,99 ; 9,06 ; 8,82 ; 22,37 ; 22,54 ; 21,95 ;;;;
#21;U;Frigg;Y;N;Y;Y; -   ; 25 ; 25 ; 12 ; 45 ; 35 ; 35 ; -   ; 95 ; 65 ; 75 ; 5 ; 40 ; 50 ; 60 ; -   ; 10 ; 10 ; 10 ; 8 ; 240 ; 236 ; 248 ; 385 ; 361 ; 393 ; 13 ;58,67B; 118 ; 114 ; 125 ; 1.649,75 ; 1.628,50 ; 1.688,93 ; 8,77 ; 8,62 ; 9,05 ; 21,82 ; 21,45 ; 22,52 ;;;;
#22;A;Elise;N;N;N;N; 25 ; 25 ; 25 ; 12 ; 30 ; -   ; 30 ; -   ; 65 ; 70 ; 50 ; 14 ; 60 ; 10 ; 50 ; -   ; -   ; 15 ; 15 ; -   ; 247 ; 241 ; 248 ; 372 ; 336 ; 363 ; 14 ;57,47B; 114 ; 112 ; 119 ; 1.684,07 ; 1.655,87 ; 1.691,64 ; 9,11 ; 8,88 ; 9,13 ; 22,67 ; 22,10 ; 22,72 ;;;;
#23;U;Qin Qiong;N;N;N;N; 25 ; 25 ; 25 ; 12 ; 40 ; 40 ; 40 ; -   ; 70 ; 80 ; 90 ; 8 ; 55 ; 45 ; 45 ; 6 ; -   ; -   ; -   ; -   ; 246 ; 246 ; 249 ; 371 ; 371 ; 384 ; 14 ;57,40B; 118 ; 117 ; 119 ; 1.681,51 ; 1.678,18 ; 1.692,78 ; 9,05 ; 9,03 ; 9,14 ; 22,52 ; 22,47 ; 22,74 ;;;;
#24;U;Turenne;N;Y;Y;N; -   ; 25 ; 25 ; 12 ; 35 ; 35 ; -   ; -   ; 70 ; 70 ; 30 ; 12 ; 60 ; 35 ; 40 ; -   ; -   ; -   ; -   ; -   ; 241 ; 239 ; 250 ; 371 ; 344 ; 320 ; 12 ;56,15B; 116 ; 113 ; 125 ; 1.653,30 ; 1.643,32 ; 1.698,00 ; 8,82 ; 8,76 ; 9,13 ; 21,95 ; 21,80 ; 22,72 ;;;;
#25;A;Yue Fei;N;N;Y;N; 25 ; 25 ; 25 ; 12 ; 25 ; -   ; 10 ; -   ; 50 ; 25 ; 30 ; 14 ; 41 ; -   ; 10 ; 6 ; -   ; -   ; -   ; -   ; 238 ; 245 ; 247 ; 329 ; 270 ; 287 ; 20 ;55,11B; 113 ; 115 ; 118 ; 1.641,05 ; 1.676,06 ; 1.684,91 ; 8,74 ; 9,03 ; 9,08 ; 21,75 ; 22,47 ; 22,59 ;;;;
#26;A;Aurelian;N;Y;Y;Y; 25 ; 25 ; 25 ; 12 ; 40 ; -   ; 35 ; -   ; 75 ; 65 ; 75 ; 8 ; 55 ; 20 ; 50 ; -   ; -   ; -   ; -   ; -   ; 246 ; 240 ; 245 ; 376 ; 325 ; 370 ; 8 ;54,51B; 120 ; 114 ; 118 ; 1.679,09 ; 1.651,18 ; 1.676,97 ; 9,01 ; 8,82 ; 9,01 ; 22,42 ; 21,95 ; 22,42 ;;;;
#27;U;Pyrrhus;N;N;Y;N; 25 ; 25 ; 25 ; 12 ; 35 ; 15 ; 35 ; -   ; 85 ; 45 ; 60 ; -   ; 55 ; 35 ; 35 ; 6 ; -   ; -   ; -   ; -   ; 243 ; 241 ; 246 ; 383 ; 321 ; 341 ; 6 ;54,30B; 116 ; 120 ; 118 ; 1.664,65 ; 1.653,01 ; 1.678,11 ; 8,92 ; 8,78 ; 9,02 ; 22,20 ; 21,85 ; 22,44 ;;;;
#28;U;Trajan;N;Y;N;N; 25 ; 25 ; 25 ; 12 ; 15 ; 15 ; 20 ; -   ; 45 ; 40 ; 45 ; 10 ; 46 ; 10 ; 36 ; 10 ; -   ; -   ; -   ; -   ; 217 ; 247 ; 250 ; 308 ; 297 ; 331 ; 20 ;52,22B; 109 ; 120 ; 118 ; 1.535,87 ; 1.683,63 ; 1.701,92 ; 7,85 ; 9,05 ; 9,23 ; 19,53 ; 22,52 ; 22,97 ;;;;
#29;A;Maeda Toshiie;N;N;Y;N; 25 ; 25 ; 25 ; 12 ; 35 ; -   ; 30 ; -   ; 65 ; 35 ; 50 ; -   ; 60 ; 20 ; 30 ; 6 ; -   ; -   ; -   ; -   ; 242 ; 248 ; 242 ; 367 ; 303 ; 322 ; 6 ;52,17B; 115 ; 121 ; 113 ; 1.660,18 ; 1.688,09 ; 1.658,06 ; 8,89 ; 9,08 ; 8,89 ; 22,12 ; 22,59 ; 22,12 ;;;;
#30;U;Epaminondas;N;N;N;N; -   ; 25 ; 25 ; 12 ; 30 ; -   ; 15 ; -   ; 50 ; 30 ; 25 ; 14 ; 30 ; 10 ; 50 ; -   ; -   ; -   ; -   ; -   ; 242 ; 247 ; 246 ; 322 ; 287 ; 321 ; 14 ;50,70B; 115 ; 113 ; 110 ; 1.660,18 ; 1.684,15 ; 1.682,10 ; 8,89 ; 9,12 ; 9,13 ; 22,12 ; 22,69 ; 22,72 ;;;;
#31;A;Guan Yu;N;N;Y;Y; 25 ; 25 ; 25 ; 12 ; 30 ; -   ; 20 ; -   ; 60 ; 50 ; 40 ; -   ; 50 ; 10 ; 50 ; 6 ; -   ; -   ; -   ; -   ; 245 ; 245 ; 247 ; 355 ; 305 ; 337 ; 6 ;50,58B; 116 ; 116 ; 116 ; 1.675,99 ; 1.672,58 ; 1.686,19 ; 9,02 ; 8,99 ; 9,11 ; 22,44 ; 22,37 ; 22,67 ;;;;
#32;A;Alessandra;N;N;Y;N; 25 ; 25 ; 25 ; 12 ; 30 ; -   ; 30 ; 8 ; 50 ; 80 ; 60 ; 8 ; 50 ; 50 ; 20 ; -   ; -   ; -   ; -   ; -   ; 242 ; 247 ; 243 ; 342 ; 377 ; 323 ; 8 ;49,91B; 115 ; 122 ; 119 ; 1.657,91 ; 1.684,62 ; 1.666,69 ; 8,87 ; 9,04 ; 8,91 ; 22,07 ; 22,49 ; 22,17 ;;;;
#33;U;Robert the Bruce;N;Y;N;N; 25 ; 25 ; 25 ; 12 ; 15 ; -   ; 25 ; -   ; 45 ; 20 ; 50 ; 14 ; 26 ; -   ; 10 ; -   ; -   ; -   ; -   ; -   ; 238 ; 243 ; 244 ; 309 ; 263 ; 304 ; 14 ;48,93B; 109 ; 120 ; 115 ; 1.640,21 ; 1.663,21 ; 1.668,12 ; 8,77 ; 8,87 ; 8,96 ; 21,82 ; 22,07 ; 22,30 ;;;;
#34;U;Soult;N;N;Y;N; -   ; 25 ; 25 ; 12 ; 35 ; 15 ; 15 ; -   ; 65 ; 35 ; 35 ; -   ; 60 ; 25 ; 35 ; -   ; -   ; -   ; -   ; -   ; 240 ; 242 ; 246 ; 365 ; 302 ; 316 ; -   ;48,38B; 116 ; 118 ; 118 ; 1.648,77 ; 1.662,23 ; 1.679,24 ; 8,78 ; 8,88 ; 9,03 ; 21,85 ; 22,10 ; 22,47 ;;;;
#35;U;Oda Nobunaga;N;N;N;N; 25 ; 25 ; 25 ; 12 ; 35 ; -   ; -   ; -   ; 75 ; 20 ; 20 ; 10 ; 36 ; -   ; 30 ; -   ; -   ; -   ; -   ; -   ; 211 ; 217 ; 242 ; 322 ; 237 ; 292 ; 10 ;48,36B; 106 ; 100 ; 113 ; 1.503,20 ; 1.533,13 ; 1.660,33 ; 7,59 ; 7,91 ; 8,91 ; 18,89 ; 19,68 ; 22,17 ;;;;
#36;A;Scipio Africanus;N;N;Y;N; 25 ; 25 ; 25 ; 12 ; 30 ; -   ; 40 ; -   ; 65 ; 60 ; 55 ; -   ; 30 ; 36 ; 46 ; 6 ; -   ; -   ; -   ; -   ; 235 ; 246 ; 233 ; 330 ; 342 ; 334 ; 6 ;47,18B; 111 ; 115 ; 114 ; 1.624,19 ; 1.679,46 ; 1.613,76 ; 8,61 ; 9,06 ; 8,49 ; 21,42 ; 22,54 ; 21,13 ;;;;
#37;U;Takeda Shingen;N;N;N;N; 25 ; 25 ; 25 ; 12 ; 20 ; -   ; -   ; -   ; 40 ; 30 ; -   ; 10 ; 32 ; -   ; 10 ; -   ; -   ; -   ; -   ; -   ; 230 ; 231 ; 245 ; 302 ; 261 ; 255 ; 10 ;45,66B; 114 ; 113 ; 106 ; 1.597,88 ; 1.603,62 ; 1.675,59 ; 8,35 ; 8,41 ; 9,11 ; 20,78 ; 20,93 ; 22,67 ;;;;
#38;A;Basil II;N;N;Y;N; 25 ; 25 ; 25 ; 12 ; 30 ; 15 ; -   ; -   ; 60 ; 35 ; 20 ; -   ; 26 ; 10 ; 20 ; -   ; -   ; -   ; -   ; -   ; 247 ; 241 ; 244 ; 333 ; 286 ; 284 ; -   ;44,10B; 118 ; 116 ; 115 ; 1.682,64 ; 1.656,71 ; 1.668,12 ; 9,06 ; 8,85 ; 8,96 ; 22,54 ; 22,02 ; 22,30 ;;;;
#39;U;Peter the Great;N;Y;N;N; 25 ; 25 ; -   ; 12 ; -   ; -   ; 35 ; -   ; 40 ; 15 ; 55 ; 10 ; 20 ; 30 ; 20 ; -   ; -   ; -   ; -   ; -   ; 217 ; 229 ; 251 ; 277 ; 274 ; 326 ; 10 ;42,35B; 101 ; 110 ; 114 ; 1.535,33 ; 1.594,77 ; 1.706,76 ; 7,92 ; 8,36 ; 9,31 ; 19,71 ; 20,80 ; 23,17 ;;;;
#40;A;Seleucus I;N;Y;N;N; 25 ; 25 ; 25 ; 12 ; -   ; -   ; -   ; -   ; 30 ; 15 ; 15 ; 10 ; 20 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; 218 ; 223 ; 254 ; 268 ; 248 ; 269 ; 10 ;41,08B; 107 ; 103 ; 115 ; 1.538,29 ; 1.564,67 ; 1.719,16 ; 7,89 ; 8,16 ; 9,41 ; 19,63 ; 20,30 ; 23,42 ;;;;
#41;U;Alexander Nevsky;N;N;N;N; 25 ; 25 ; 25 ; 12 ; -   ; 10 ; -   ; -   ; 10 ; 20 ; 10 ; 10 ; 6 ; 10 ; 36 ; -   ; -   ; -   ; -   ; -   ; 227 ; 232 ; 248 ; 243 ; 262 ; 294 ; 10 ;37,74B; 108 ; 112 ; 111 ; 1.584,71 ; 1.611,64 ; 1.688,83 ; 8,29 ; 8,49 ; 9,18 ; 20,63 ; 21,13 ; 22,84 ;;;;
#42;;;N;N;N;N; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; -   ;2,12B; -   ; -   ; -   ; 530,00 ; 530,00 ; 530,00 ; -   ; -   ; -   ; -   ; -   ; -   ;;;;
#43;;;N;N;N;N; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; -   ;2,12B; -   ; -   ; -   ; 530,00 ; 530,00 ; 530,00 ; -   ; -   ; -   ; -   ; -   ; -   ;;;;
#44;;;N;N;N;N; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; -   ;2,12B; -   ; -   ; -   ; 530,00 ; 530,00 ; 530,00 ; -   ; -   ; -   ; -   ; -   ; -   ;;;;
#45;;;N;N;N;N; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; -   ;2,12B; -   ; -   ; -   ; 530,00 ; 530,00 ; 530,00 ; -   ; -   ; -   ; -   ; -   ; -   ;;;;
#46;;;N;N;N;N; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; -   ;2,12B; -   ; -   ; -   ; 530,00 ; 530,00 ; 530,00 ; -   ; -   ; -   ; -   ; -   ; -   ;;;;
#47;;;N;N;N;N; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; -   ;2,12B; -   ; -   ; -   ; 530,00 ; 530,00 ; 530,00 ; -   ; -   ; -   ; -   ; -   ; -   ;;;;
#48;;;N;N;N;N; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; -   ;2,12B; -   ; -   ; -   ; 530,00 ; 530,00 ; 530,00 ; -   ; -   ; -   ; -   ; -   ; -   ;;;;
#49;;;N;N;N;N; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; -   ;2,12B; -   ; -   ; -   ; 530,00 ; 530,00 ; 530,00 ; -   ; -   ; -   ; -   ; -   ; -   ;;;;
#50;;;N;N;N;N; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; -   ;2,12B; -   ; -   ; -   ; 530,00 ; 530,00 ; 530,00 ; -   ; -   ; -   ; -   ; -   ; -   ;;;;
#51;;;N;N;N;N; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 16 ; 16 ; 16 ; 16 ; 16 ; 16 ; -   ;2,12B; -   ; -   ; -   ; 530,00 ; 530,00 ; 530,00 ; -   ; -   ; -   ; -   ; -   ; -   ;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Assistant;;;Covenant;;;;Skill Books (Level 4) Not Calculated;;;;Main Skill;;;;Full Ascension;;;;Full Specialties;;;;Full Covenant/Skin;;;;Attributes;;;Totals;;;;;;;;;;;;;;;;;;;;
#;A/U;General;MC;C1;C2;C3;ATK %;DEF %;HP %;MS %;ATK;DEF;HP;MS;ATK2;DEF3;HP4;MS5;ATK6;DEF7;HP8;MS9;ATK10;DEF11;HP12;MS13;ATK14;DEF15;HP16;ATK17;DEF18;HP19;MS20;Inc ATK;;;;;;;;;;;;;;;;
#1;A;Vercingetorix;Y;N;N;N; 25 ; 25 ; 25 ; 12 ; 60 ; 60 ; 40 ; -   ; -   ; -   ; -   ; -   ; 85 ; 75 ; 10 ; 6 ; 20 ; 15 ; 10 ; 10 ; -   ; -   ; -   ; 165 ; 150 ; 60 ; 16 ;30,42B;;;;;;;;;;;;;;;;
#2;U;Niccolo Piccinino;Y;N;N;Y; 25 ; 25 ; 25 ; 12 ; 60 ; 45 ; 60 ; -   ; -   ; -   ; -   ; -   ; 80 ; 20 ; 45 ; 8 ; 23 ; 20 ; 20 ; 8 ; -   ; -   ; -   ; 163 ; 85 ; 125 ; 16 ;30,15B;;;;;;;;;;;;;;;;
#3;A;Lorenzo de' Medici;Y;N;N;Y; 25 ; 25 ; 25 ; 12 ; 60 ; 60 ; 45 ; -   ; -   ; -   ; -   ; -   ; 75 ; 55 ; 65 ; 6 ; 27 ; 18 ; 15 ; 5 ; -   ; -   ; -   ; 162 ; 133 ; 125 ; 11 ;27,35B;;;;;;;;;;;;;;;;
#4;U;Gao Changgong;Y;N;N;N; 25 ; 25 ; 25 ; 12 ; 55 ; 55 ; 40 ; -   ; -   ; -   ; -   ; -   ; 75 ; 55 ; 20 ; 8 ; 15 ; 10 ; 5 ; 6 ; -   ; -   ; -   ; 145 ; 120 ; 65 ; 14 ;26,64B;;;;;;;;;;;;;;;;
#5;U;Francis I of France;Y;N;N;N; 25 ; 25 ; 25 ; 12 ; 60 ; 60 ; 45 ; -   ; -   ; -   ; -   ; -   ; 75 ; 55 ; 55 ; -   ; 20 ; 15 ; 10 ; 10 ; -   ; -   ; -   ; 155 ; 130 ; 110 ; 10 ;25,87B;;;;;;;;;;;;;;;;
#6;U;Lucilla;Y;Y;N;N; 25 ; 25 ; 25 ; 12 ; 50 ; 40 ; 40 ; -   ; -   ; -   ; -   ; -   ; 61 ; 35 ; 45 ; 6 ; 20 ; 10 ; 10 ; 10 ; -   ; -   ; -   ; 131 ; 85 ; 95 ; 16 ;25,79B;;;;;;;;;;;;;;;;
